,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
0,2016-10-24,NEW,77.0,3.0,0.0,14.0,147.0,220.0,6.0,4.0,167.0,815.0,24.0,201.0
1,2016-10-24,RETURNING,47.0,25.0,0.0,3.0,48.0,123.0,36.0,3.0,300.0,1637.0,57.0,140.0
2,2016-10-25,NEW,66.0,7.0,0.0,7.0,109.0,167.0,13.0,4.0,137.0,668.0,21.0,312.0
3,2016-10-25,RETURNING,40.0,36.0,0.0,5.0,56.0,98.0,18.0,3.0,280.0,1488.0,50.0,212.0
4,2016-10-26,NEW,76.0,6.0,0.0,16.0,120.0,156.0,4.0,4.0,139.0,642.0,27.0,280.0
5,2016-10-26,RETURNING,55.0,22.0,0.0,4.0,46.0,84.0,27.0,0.0,209.0,1284.0,50.0,201.0
6,2016-10-27,NEW,72.0,2.0,0.0,13.0,115.0,140.0,5.0,4.0,141.0,632.0,26.0,179.0
7,2016-10-27,RETURNING,42.0,27.0,1.0,1.0,53.0,89.0,18.0,2.0,284.0,1440.0,32.0,120.0
8,2016-10-28,NEW,82.0,3.0,0.0,14.0,208.0,142.0,12.0,8.0,133.0,578.0,23.0,127.0
9,2016-10-28,RETURNING,44.0,21.0,0.0,4.0,63.0,104.0,24.0,1.0,245.0,1251.0,35.0,112.0
10,2016-10-29,NEW,38.0,2.0,0.0,7.0,68.0,59.0,5.0,2.0,75.0,358.0,20.0,126.0
11,2016-10-29,RETURNING,32.0,6.0,0.0,1.0,30.0,35.0,14.0,2.0,146.0,951.0,26.0,82.0
12,2016-10-30,NEW,48.0,1.0,0.0,12.0,75.0,74.0,8.0,2.0,86.0,552.0,15.0,171.0
13,2016-10-30,RETURNING,24.0,6.0,0.0,4.0,40.0,56.0,16.0,5.0,150.0,1267.0,20.0,87.0
