Response type,Timestamp,http://www.test-rp.gov.uk/SAML2/MD,https://prod-left.tax.service.gov.uk/SAML2/FANDF,https://prod-left.tax.service.gov.uk/SAML2/ISA,https://prod-left.tax.service.gov.uk/SAML2/MD,https://prod-left.tax.service.gov.uk/SAML2/PERTAX,https://prod-left.tax.service.gov.uk/SAML2/TAI,https://prod-left.tax.service.gov.uk/SAML2/YSP,https://prod.redundancy-payments.org.uk/,https://www.fitness-to-drive.service.gov.uk/renew,https://www.fitness-to-drive.service.gov.uk/report,https://www.ruralpayments.service.gov.uk,https://www.universal-credit.service.gov.uk,https://www.viewdrivingrecord.service.gov.uk
NEW,2016-10-24,,4.0,815.0,6.0,167.0,24.0,201.0,77.0,,14.0,3.0,220.0,147.0
NEW,2016-10-31,,27.0,4227.0,63.0,844.0,168.0,1391.0,487.0,,88.0,27.0,967.0,824.0
NEW,2016-11-07,1.0,41.0,4356.0,72.0,1078.0,183.0,1291.0,573.0,43.0,93.0,87.0,1236.0,802.0
NEW,2016-11-14,0.0,21.0,4082.0,45.0,976.0,126.0,1781.0,664.0,87.0,113.0,75.0,1124.0,797.0
NEW,2016-11-21,0.0,27.0,3958.0,49.0,924.0,97.0,1524.0,772.0,91.0,103.0,85.0,1201.0,754.0
NEW,2016-11-28,0.0,34.0,3784.0,47.0,956.0,163.0,1106.0,755.0,100.0,122.0,206.0,1104.0,696.0
NEW,2016-12-05,0.0,41.0,3806.0,65.0,939.0,148.0,918.0,626.0,151.0,115.0,146.0,1191.0,715.0
NEW,2016-12-12,0.0,20.0,4128.0,47.0,751.0,98.0,883.0,582.0,154.0,107.0,103.0,1171.0,817.0
NEW,2016-12-19,1.0,21.0,3629.0,31.0,769.0,85.0,513.0,521.0,147.0,141.0,40.0,1022.0,818.0
NEW,2016-12-26,1.0,15.0,2741.0,22.0,526.0,63.0,321.0,405.0,110.0,116.0,19.0,714.0,495.0
NEW,2017-01-02,0.0,26.0,5540.0,17.0,565.0,52.0,478.0,248.0,153.0,115.0,14.0,711.0,437.0
NEW,2017-01-09,0.0,43.0,14319.0,52.0,1230.0,113.0,915.0,542.0,347.0,188.0,58.0,1880.0,924.0
NEW,2017-01-16,0.0,37.0,16113.0,38.0,1251.0,104.0,1105.0,649.0,332.0,210.0,67.0,1644.0,842.0
NEW,2017-01-23,0.0,30.0,13780.0,35.0,1087.0,96.0,848.0,645.0,219.0,179.0,53.0,1208.0,703.0
NEW,2017-01-30,0.0,19.0,20495.0,32.0,1061.0,82.0,871.0,307.0,153.0,98.0,15.0,695.0,441.0
NEW,2017-02-06,1.0,10.0,9716.0,24.0,622.0,75.0,409.0,287.0,80.0,73.0,23.0,501.0,257.0
RETURNING,2016-10-24,,3.0,1637.0,36.0,300.0,57.0,140.0,47.0,,3.0,25.0,123.0,48.0
RETURNING,2016-10-31,,15.0,9466.0,146.0,1581.0,259.0,953.0,302.0,1.0,29.0,168.0,652.0,360.0
RETURNING,2016-11-07,,23.0,7681.0,98.0,1367.0,217.0,741.0,285.0,24.0,37.0,183.0,668.0,305.0
RETURNING,2016-11-14,,22.0,7755.0,80.0,1302.0,147.0,889.0,331.0,50.0,63.0,202.0,684.0,593.0
RETURNING,2016-11-21,,31.0,8145.0,102.0,1420.0,171.0,893.0,387.0,49.0,46.0,181.0,739.0,696.0
RETURNING,2016-11-28,,28.0,8500.0,97.0,1628.0,250.0,719.0,391.0,36.0,35.0,610.0,705.0,474.0
RETURNING,2016-12-05,,31.0,14775.0,116.0,1881.0,224.0,621.0,384.0,46.0,29.0,569.0,740.0,282.0
RETURNING,2016-12-12,,11.0,14470.0,121.0,1650.0,160.0,614.0,317.0,42.0,36.0,594.0,604.0,318.0
RETURNING,2016-12-19,,16.0,10158.0,131.0,1643.0,149.0,502.0,242.0,31.0,34.0,594.0,591.0,414.0
RETURNING,2016-12-26,,23.0,8132.0,76.0,1603.0,148.0,339.0,190.0,18.0,18.0,323.0,367.0,245.0
RETURNING,2017-01-02,,30.0,16676.0,79.0,1668.0,148.0,491.0,132.0,34.0,8.0,193.0,289.0,231.0
RETURNING,2017-01-09,,64.0,44101.0,198.0,3952.0,324.0,889.0,286.0,54.0,29.0,479.0,597.0,422.0
RETURNING,2017-01-16,,41.0,50812.0,218.0,4340.0,279.0,1045.0,356.0,51.0,23.0,418.0,635.0,427.0
RETURNING,2017-01-23,,37.0,47427.0,219.0,3728.0,221.0,823.0,352.0,34.0,26.0,321.0,538.0,356.0
RETURNING,2017-01-30,,25.0,89761.0,243.0,4727.0,196.0,659.0,190.0,17.0,12.0,148.0,292.0,221.0
RETURNING,2017-02-06,2.0,13.0,48480.0,166.0,2443.0,120.0,260.0,165.0,8.0,10.0,114.0,178.0,151.0
