,(D) Total number of successful matches,Cancel - REGISTER_WITH_IDP,Failure - REGISTER_WITH_IDP,IDP visits with a reg request V4,Success - REGISTER_WITH_IDP,Success - SIGN_IN_WITH_IDP,Week,rp,sign-ins hub data,signin journeys started (goal s2),verifications,visits where a verification journey started,visits where a signin journey started,visits where a user signed in,(A) Visits started on the GOV.UK Verify hub,(B) Visits with a successful verification or sign-in,(B/A) Overall completion rate,(C) Total verifications and signins,(D/C) Match rate,verification completion rate,Signin completion rate,percentage of verifications from 1st time users,success rate,People visiting an IDP to register,IPD Conversion rate
0,57,23,2,84,30,30,2017-01-16 to 2017-01-22,HMRC FF,43,55,31,113,54,29,167,60,0.3592814371257485,74,0.7702702702702703,0.2743362831858407,0.5370370370370371,0.6324075712011321,0.6966292134831461,84.63240757120113,0.43279923541098575
0,0,0,0,579,0,0,2017-01-16 to 2017-01-22,DVLA F2D REPORT,32,136,217,0,-81,-217,-81,0,-0.0,249,0.0,inf,2.6790123456790123,0.0,1.0,579.0,0.0
0,1,462,8,1373,625,625,2017-01-16 to 2017-01-22,BIS RP,427,752,754,1461,623,496,2084,1250,0.5998080614203455,1181,0.000846740050804403,0.5160848733744011,0.7961476725521669,0.7138652758955827,0.7593152064451159,1373.7138652758956,0.6260286071721556
0,966,889,19,4076,700,700,2017-01-16 to 2017-01-22,DVLA VDL,441,1066,871,5790,895,529,6685,1400,0.2094240837696335,1312,0.7362804878048781,0.15043177892918824,0.5910614525139665,0.5604432423843622,0.6526789059572874,4076.5604432423843,0.2816017256519442
0,1592,2216,71,5265,1061,1061,2017-01-16 to 2017-01-22,DWP UCDS,677,2220,1569,5677,1712,553,7389,2122,0.28718365137366353,2246,0.7088156723063224,0.27637836885679057,0.3230140186915888,0.5934409712069276,0.5709606986899564,5265.593440971207,0.3041163143068766
0,3493,1096,26,4305,1190,1190,2017-01-16 to 2017-01-22,HMRC PTA,4594,4254,1331,5921,4113,1049,10034,2380,0.23719354195734502,5925,0.589535864978903,0.22479310927208243,0.2550449793338196,0.6004836971758436,0.6986876640419948,4305.600483697176,0.2827073222691738
0,0,0,0,597,0,0,2017-01-16 to 2017-01-22,DVLA F2D RENEW,40,159,269,0,-110,-269,-110,0,-0.0,309,0.0,inf,2.4454545454545453,0.0,1.0,597.0,0.0
0,39397,10010,235,39052,13735,13735,2017-01-16 to 2017-01-22,HMRC SA,57087,44816,16859,45477,41692,10611,87169,27470,0.31513496770640936,73946,0.5327806777919022,0.37071486685577326,0.2545092583709105,0.6510095419536795,0.7628851984252681,39052.65100954195,0.34020829437672284
0,301,108,4,439,107,107,2017-01-16 to 2017-01-22,HMRC TE,287,386,118,632,375,96,1007,214,0.21251241310824232,405,0.7432098765432099,0.18670886075949367,0.256,0.5845963990760371,0.6704545454545454,439.584596399076,0.2627105900921781
0,1581,841,14,3462,920,920,2017-01-16 to 2017-01-22,HMRC YSP,975,1592,1013,4786,1499,827,6285,1840,0.29276054097056486,1988,0.795271629778672,0.21165900543251148,0.5517011340893929,0.5961061917318212,0.6998272884283246,3462.596106191732,0.3708484045494566
0,320,39,1,146,45,45,2017-01-16 to 2017-01-22,DEFRA RP,417,512,67,185,490,23,675,90,0.13333333333333333,484,0.6611570247933884,0.3621621621621622,0.04693877551020408,0.6214200799740625,0.7657142857142857,146.62142007997406,0.14137130351142435
0,120,18,4,84,34,34,2017-01-16 to 2017-01-22,HMRC CC,259,160,45,92,149,23,241,68,0.2821576763485477,304,0.39473684210526316,0.4891304347826087,0.15436241610738255,0.6843363024114708,0.7758620689655172,84.68433630241147,0.29099083437069156
