,index,Timestamp,DEFRA RP,DVLA VDL,HMRC SA,DVLA F2D RENEW,HMRC CC,HMRC FF,HMRC YSP,BIS RP,DVLA F2D REPORT,HMRC PTA,HMRC TE,DWP UCDS
0,0,2016-10-24,3.0,147.0,815.0,0.0,6.0,4.0,201.0,77.0,14.0,167.0,24.0,220.0
1,1,2016-10-31,27.0,824.0,4227.0,0.0,63.0,27.0,1391.0,487.0,88.0,844.0,168.0,967.0
2,2,2016-11-07,87.0,802.0,4356.0,43.0,73.0,41.0,1291.0,573.0,93.0,1078.0,183.0,1236.0
3,3,2016-11-14,75.0,797.0,4082.0,87.0,45.0,21.0,1781.0,664.0,113.0,976.0,126.0,1124.0
4,4,2016-11-21,85.0,754.0,3958.0,91.0,49.0,27.0,1524.0,772.0,103.0,924.0,97.0,1201.0
5,5,2016-11-28,206.0,696.0,3784.0,100.0,47.0,34.0,1106.0,755.0,122.0,956.0,163.0,1104.0
6,6,2016-12-05,146.0,715.0,3806.0,151.0,65.0,41.0,918.0,626.0,115.0,939.0,148.0,1191.0
7,7,2016-12-12,103.0,817.0,4128.0,154.0,47.0,20.0,883.0,582.0,107.0,751.0,98.0,1171.0
8,8,2016-12-19,40.0,818.0,3629.0,147.0,32.0,21.0,513.0,521.0,141.0,769.0,85.0,1022.0
9,9,2016-12-26,19.0,495.0,2741.0,110.0,23.0,15.0,321.0,405.0,116.0,526.0,63.0,714.0
10,10,2017-01-02,14.0,437.0,5540.0,153.0,17.0,26.0,478.0,248.0,115.0,565.0,52.0,711.0
11,11,2017-01-09,58.0,924.0,14319.0,347.0,52.0,43.0,915.0,542.0,188.0,1230.0,113.0,1880.0
12,12,2017-01-16,67.0,842.0,16113.0,332.0,38.0,37.0,1105.0,649.0,210.0,1251.0,104.0,1644.0
13,13,2017-01-23,59.0,866.0,17532.0,278.0,43.0,40.0,1012.0,774.0,217.0,1363.0,125.0,1534.0
14,14,2017-01-30,42.0,742.0,27359.0,246.0,47.0,26.0,1151.0,549.0,170.0,1540.0,159.0,1232.0
15,15,2017-02-06,77.0,973.0,12297.0,307.0,103.0,32.0,2440.0,856.0,308.0,1654.0,226.0,1680.0
