,Response type,Timestamp,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
0,NEW,2016-10-24,77.0,3.0,,14.0,147.0,220.0,6.0,4.0,167.0,815.0,24.0,201.0
1,NEW,2016-10-31,487.0,27.0,,88.0,824.0,967.0,63.0,27.0,844.0,4227.0,168.0,1391.0
2,NEW,2016-11-07,573.0,87.0,43.0,93.0,802.0,1236.0,73.0,41.0,1078.0,4356.0,183.0,1291.0
3,NEW,2016-11-14,664.0,75.0,87.0,113.0,797.0,1124.0,45.0,21.0,976.0,4082.0,126.0,1781.0
4,NEW,2016-11-21,772.0,85.0,91.0,103.0,754.0,1201.0,49.0,27.0,924.0,3958.0,97.0,1524.0
5,NEW,2016-11-28,755.0,206.0,100.0,122.0,696.0,1104.0,47.0,34.0,956.0,3784.0,163.0,1106.0
6,NEW,2016-12-05,626.0,146.0,151.0,115.0,715.0,1191.0,65.0,41.0,939.0,3806.0,148.0,918.0
7,NEW,2016-12-12,582.0,103.0,154.0,107.0,817.0,1171.0,47.0,20.0,751.0,4128.0,98.0,883.0
8,NEW,2016-12-19,521.0,40.0,147.0,141.0,818.0,1022.0,32.0,21.0,769.0,3629.0,85.0,513.0
9,NEW,2016-12-26,405.0,19.0,110.0,116.0,495.0,714.0,23.0,15.0,526.0,2741.0,63.0,321.0
10,NEW,2017-01-02,248.0,14.0,153.0,115.0,437.0,711.0,17.0,26.0,565.0,5540.0,52.0,478.0
11,NEW,2017-01-09,542.0,58.0,347.0,188.0,924.0,1880.0,52.0,43.0,1230.0,14319.0,113.0,915.0
12,NEW,2017-01-16,649.0,67.0,332.0,210.0,842.0,1644.0,38.0,37.0,1251.0,16113.0,104.0,1105.0
13,NEW,2017-01-23,645.0,53.0,219.0,179.0,703.0,1208.0,35.0,30.0,1087.0,13780.0,96.0,848.0
14,NEW,2017-01-30,307.0,15.0,153.0,98.0,441.0,695.0,32.0,19.0,1061.0,20495.0,82.0,871.0
15,NEW,2017-02-06,287.0,23.0,80.0,73.0,257.0,501.0,25.0,10.0,622.0,9716.0,75.0,409.0
16,RETURNING,2016-10-24,47.0,25.0,,3.0,48.0,123.0,36.0,3.0,300.0,1637.0,57.0,140.0
17,RETURNING,2016-10-31,302.0,168.0,1.0,29.0,360.0,652.0,146.0,15.0,1581.0,9466.0,259.0,953.0
18,RETURNING,2016-11-07,285.0,183.0,24.0,37.0,305.0,668.0,98.0,23.0,1367.0,7681.0,217.0,741.0
19,RETURNING,2016-11-14,331.0,202.0,50.0,63.0,593.0,684.0,80.0,22.0,1302.0,7755.0,147.0,889.0
20,RETURNING,2016-11-21,387.0,181.0,49.0,46.0,696.0,739.0,102.0,31.0,1420.0,8145.0,171.0,893.0
21,RETURNING,2016-11-28,391.0,610.0,36.0,35.0,474.0,705.0,97.0,28.0,1628.0,8500.0,250.0,719.0
22,RETURNING,2016-12-05,384.0,569.0,46.0,29.0,282.0,740.0,116.0,31.0,1881.0,14775.0,224.0,621.0
23,RETURNING,2016-12-12,317.0,594.0,42.0,36.0,318.0,604.0,121.0,11.0,1650.0,14470.0,160.0,614.0
24,RETURNING,2016-12-19,242.0,594.0,31.0,34.0,414.0,591.0,131.0,16.0,1643.0,10158.0,149.0,502.0
25,RETURNING,2016-12-26,190.0,323.0,18.0,18.0,245.0,367.0,76.0,23.0,1603.0,8132.0,148.0,339.0
26,RETURNING,2017-01-02,132.0,193.0,34.0,8.0,231.0,289.0,79.0,30.0,1668.0,16676.0,148.0,491.0
27,RETURNING,2017-01-09,286.0,479.0,54.0,29.0,422.0,597.0,198.0,64.0,3952.0,44101.0,324.0,889.0
28,RETURNING,2017-01-16,356.0,418.0,51.0,23.0,427.0,635.0,218.0,41.0,4340.0,50812.0,279.0,1045.0
29,RETURNING,2017-01-23,352.0,321.0,34.0,26.0,356.0,538.0,219.0,37.0,3728.0,47427.0,221.0,823.0
30,RETURNING,2017-01-30,190.0,148.0,17.0,12.0,221.0,292.0,243.0,25.0,4727.0,89761.0,196.0,659.0
31,RETURNING,2017-02-06,165.0,114.0,8.0,10.0,151.0,178.0,168.0,13.0,2443.0,48480.0,120.0,260.0
